"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"Gene_0472",2038.13495694738,6.69614328375947,1.42987079138035,4.68304082027947,2.82650197656955e-06,0.00126344638352659,"Up in COVID-19"
"Gene_0006",97.9057969207933,-5.91175925110617,1.56942029238819,-3.76684262321487,0.000165325143227354,0.0125718657515563,"Down in COVID-19"
"Gene_0123",1053.41675706321,6.19674793861097,1.54023230369598,4.02325540357848,5.73991921355812e-05,0.0125718657515563,"Up in COVID-19"
"Gene_0235",130.546337432461,-5.82269507243632,1.53592164948862,-3.79101048180092,0.00015003562141858,0.0125718657515563,"Down in COVID-19"
"Gene_0247",138.68498113818,-5.49261515992223,1.47532238696486,-3.72299316302115,0.000196874855169785,0.0125718657515563,"Down in COVID-19"
"Gene_0357",291.237859530282,-5.6694280093079,1.49709497590616,-3.78695279895407,0.000152506056390137,0.0125718657515563,"Down in COVID-19"
"Gene_0388",780.934720896681,5.2119231133156,1.38857697626079,3.75342757543804,0.000174432946110898,0.0125718657515563,"Up in COVID-19"
"Gene_0106",508.434358996343,-5.87561465224657,1.63834803684766,-3.58630432612586,0.000335397521671047,0.0187403365233698,"Down in COVID-19"
"Gene_0377",171.848045421723,-5.03035022062469,1.46126723888194,-3.44245740051871,0.000576454648202907,0.0286305808607444,"Down in COVID-19"
"Gene_0379",73.8567077912911,-5.53734766762135,1.63026523022436,-3.39659312175804,0.00068230337191416,0.0304989607245629,"Down in COVID-19"
"Gene_0014",404.67362057227,6.12833957601195,1.89432492936955,3.23510474945369,0.0012159811139405,0.0470827451988102,"Up in COVID-19"
"Gene_0087",118.000893848605,-4.52598931679593,1.40382629929616,-3.22403798750966,0.00126396631406202,0.0470827451988102,"Down in COVID-19"
"Gene_0007",140.784461131393,4.0658125954172,1.28423370258882,3.16594447507578,0.00154580297540537,0.0499211970207612,"Up in COVID-19"
"Gene_0131",137.145071147458,-4.56656690549806,1.45317103276056,-3.14248412784765,0.00167520795371682,0.0499211970207612,"Down in COVID-19"
"Gene_0362",140.811046579251,5.68151457511403,1.80449318391336,3.14853756487606,0.00164089631977488,0.0499211970207612,"Up in COVID-19"
"Gene_0137",187.009327156593,-4.28522105983581,1.40083898274468,-3.05903898493724,0.00222048252499288,0.0593530520807082,"Not significant"
"Gene_0139",130.705969924768,-4.98701201686187,1.63860875386781,-3.0434428017612,0.00233887899030457,0.0593530520807082,"Not significant"
"Gene_0327",49.4420615611809,-4.67944886532877,1.54085140554652,-3.03692416315059,0.00239005578848489,0.0593530520807082,"Not significant"
"Gene_0102",293.19184046348,-3.88333433996057,1.35317931662583,-2.86978546911558,0.00410750374846422,0.0849225575231482,"Not significant"
"Gene_0285",104.26417180671,-4.63161520174287,1.5957443244129,-2.90247950807967,0.00370221380068182,0.0849225575231482,"Not significant"
"Gene_0408",283.742710025731,-4.86744459329248,1.69490057561034,-2.87181718109908,0.00408118994029174,0.0849225575231482,"Not significant"
"Gene_0419",253.500257104486,4.20641918627717,1.47584966620806,2.85016779323116,0.00436961705376378,0.0849225575231482,"Not significant"
"Gene_0479",188.571045584512,5.31505323273192,1.85803603419861,2.86057597102759,0.00422872222107542,0.0849225575231482,"Not significant"
"Gene_0059",110.780452638535,-3.36261271183519,1.19656202006995,-2.81022851756452,0.00495063355211902,0.0897296105667276,"Not significant"
"Gene_0084",119.605487725533,-4.5968803310271,1.6677206436293,-2.7563850987797,0.0058444142526021,0.0897296105667276,"Not significant"
"Gene_0152",28.6919789091595,-4.25483511742886,1.55524274332816,-2.73580129898159,0.00622285889836366,0.0897296105667276,"Not significant"
"Gene_0228",1232.04847836004,3.80118606839154,1.38307132063501,2.74836590975388,0.00598931273630546,0.0897296105667276,"Not significant"
"Gene_0273",195.755171895293,3.91288522219804,1.42245116604984,2.75080460798114,0.00594490914339381,0.0897296105667276,"Not significant"
"Gene_0400",156.127109255665,-4.14391244355255,1.48768330602565,-2.7854802341118,0.00534484985119353,0.0897296105667276,"Not significant"
"Gene_0401",157.970959730903,-3.51146316646075,1.26823260952435,-2.76878479554136,0.0056265786560046,0.0897296105667276,"Not significant"
"Gene_0432",254.829543391051,-3.51519576389686,1.28220467315254,-2.7415246859568,0.00611547652320525,0.0897296105667276,"Not significant"
"Gene_0256",76.9741399941602,-4.05214024737665,1.48765943187826,-2.72383595367697,0.00645285494681104,0.0901383175382668,"Not significant"
"Gene_0121",87.2449342886157,3.33565527324109,1.23498638235171,2.70096522593975,0.00691385668694849,0.0936513314868477,"Not significant"
"Gene_0252",213.374684491275,3.69726189160996,1.38354780192683,2.67230513211101,0.0075332113829395,0.0990395731815869,"Not significant"
